City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Ilulissat,GL,69.2167,-51.1,57.22,41,75,16.11,broken clouds
259,Maniitsoq,GL,65.4167,-52.9,44.33,96,100,31.36,moderate rain
260,Nanortalik,GL,60.1432,-45.2371,47.37,90,100,6.87,overcast clouds
261,Galle,LK,6.0367,80.217,79.18,87,98,14.12,overcast clouds
262,Longyearbyen,SJ,78.2186,15.6401,44.44,81,40,11.5,scattered clouds
263,Zeya,RU,53.75,127.2667,57.6,98,100,4.7,overcast clouds
264,Takoradi,GH,4.8845,-1.7554,76.57,83,94,8.9,overcast clouds
265,Hovd,MN,48.0056,91.6419,64.08,44,54,6.15,broken clouds
266,Acarau,BR,-2.8856,-40.12,82.47,66,53,17.2,broken clouds
267,San Cristobal,VE,7.7669,-72.225,84.38,56,36,7.92,scattered clouds
268,Barbastro,ES,42.0356,0.1269,83.07,29,7,1.72,clear sky
269,Luwuk,ID,-0.9516,122.7875,77.09,92,94,6.46,overcast clouds
270,Bose,IT,45.4612,8.0137,70.14,80,1,5.61,clear sky
271,Siyabuswa,ZA,-25.1132,29.0445,58.68,34,0,3.36,clear sky
272,Canela,BR,-29.3656,-50.8156,65.07,76,100,1.01,overcast clouds
273,Severodvinsk,RU,64.5635,39.8302,41.11,84,18,1.12,few clouds
274,Sussex,US,41.1834,-74.6663,82.81,54,75,3.44,broken clouds
275,Bom Jesus,BR,-9.0744,-44.3586,89.71,19,76,9.44,broken clouds
276,Rawson,AR,-43.3002,-65.1023,72.72,20,94,11.32,overcast clouds
277,Pisco,PE,-13.7,-76.2167,68.05,68,0,16.11,clear sky
278,Dawei,MM,14.0833,98.2,76.78,94,100,5.23,overcast clouds
279,Kigorobya,UG,1.6162,31.3089,70.23,71,73,4.45,light rain
280,Bay Roberts,CA,47.5999,-53.2648,79.66,44,44,3.0,scattered clouds
281,Turka,UA,49.1541,23.0297,62.26,91,82,10.87,broken clouds
282,Chapais,CA,49.7834,-74.8492,80.38,44,99,9.22,overcast clouds
283,Paka,MY,4.6374,103.4368,76.93,100,98,0.0,overcast clouds
284,Soritor,PE,-6.1392,-77.1039,82.76,36,3,5.1,clear sky
285,Victoria,HK,22.2855,114.1577,84.16,95,100,1.99,moderate rain
286,Hasaki,JP,35.7333,140.8333,77.4,84,44,4.09,scattered clouds
